Tumorsubtype,Feature,Effect Size,Pvalue,Tumor subtype
,NTRK3,1.0001386642099486,0.018051256343200754,M
,CCND1,1.9727444541787615,0.006665484239790371,M
,Apoptosis,0.99992868879777,0.2866766199103763,M
,CCL5,0.9994321581553427,0.004626753777394208,M
,Mitotic spindle,0.9998886742530434,0.2760634892168071,M
,CDK2,0.03699735737514679,0.1819512314183347,M
,CD27,0.9999934953479765,0.1768190448821788,M
,RAD50,0.0014444440252378067,0.0023205188674319806,M
,Oxidative phosphorylation,0.22285396862073653,0.032132108455061675,M
,CDK6,1.0000919883078752,0.20358662977644149,M
,mTORC1 signaling,0.11863140293053118,0.0041883146351162975,M
,naive B-cells,0.9999986926704975,0.29390318073896804,M
,CD8+ T-cells,0.9999960323743468,0.33981054131338195,M
,pDC,0.999934825787317,2.933264337361063e-05,M
,Epithelial cells,0.9999915829287926,0.9148364778083673,M
,Trm,0.061128923031200655,0.003601034692818862,M
,LIV-1,0.9998771037391783,0.8834891292001192,M
,TP53,1.4181718299780495,0.5873899966368878,M
,Smooth muscle,1.0000787956060637,0.09542021900969036,M
,TLS ST,0.9999657530056156,0.852323181729528,M
,CD47,0.09699200248815391,0.00017076607919092916,M
,Memory B-cells,0.9999833946033343,0.29572874677077354,M
,PDGFC,1.0000072898333536,0.8772398935598168,M
,CSF1R,0.9997968925000421,0.3279239238865106,M
,TLS Cabrita,0.9999384570447957,0.7483465100565128,M
,CCNE1,0.9997673754727121,0.0390605538637618,M
,TLR3,0.999965136837046,0.005910276017392693,M
,ERBB2,1.00029669381863,0.0390605538637618,M
,TTK,0.9999300187309091,0.0863447134330326,M
,PGR,9.11846109792468e+48,0.16932414898124493,M
,Angiogenesis,1.000370423129931,0.0029344745094950133,M
,DNA repair,0.9998085514383243,0.005910276017392693,M
,ATM,0.9999920175617337,0.3988712807493241,M
,MYC targets v1,0.9997598872818496,0.0863447134330326,M
,CMP,1.0000013082592725,0.9085548069316394,M
,GENE70,1.000063998795864,0.03615016349064209,M
,Androgen response,0.9998522842650277,0.20641751489950155,M
,DNMT1,0.9998096984691774,0.023237501669946314,M
,wound-myCAF,49.336176427947365,3.370063742157431e-05,M
,CD4+ naive T-cells,0.9999914242420465,0.2150814408774543,M
,MPP,0.9999985429743071,0.6774990757730681,M
,MSH6,0.9998933425214171,0.43990989928996604,M
,Neurons,3.964588260849658e+67,0.00023366184875596164,M
,p53 pathway,0.23871297696102503,0.41228775865771183,M
,MSH2,1.0000306807297448,0.4259681922947892,M
,Apical surface,1.0000609064488173,0.565759330740841,M
,LAG3,0.999677663335279,0.1644615750867896,M
,EGFR,1.000110365835927,0.7907244842075034,M
,Inflammatory response,0.19412922940888483,0.025754101290113834,M
,CD4+ Tem,1.000004068268651,0.7724785135088469,M
,NKG2A,0.9999985884964677,0.5083272970137789,M
,MSH3,7.807854609612101e-09,0.024720493582183232,M
,FANCM,0.9999925812949251,0.581946564129755,M
,Epithelial mesenchymal transition,52.793866251803415,4.4217691399885075e-06,M
,CD134,0.9999681025541198,0.11585411463668302,M
,TLS Lundeberg,0.9999999317306344,0.0013919186458307864,M
,ESR1,0.9999245720796057,0.0022304607775483587,M
,NBN,0.9998774082093077,0.4637182929588617,M
,GPNMB,0.9999280947643192,0.7907244842075034,M
,Interferon gamma response,0.9993563990450147,0.0003928109091984414,M
,CD4+ Tcm,1.0000012907375084,0.13642410020668017,M
,CD40,0.9998635407125714,0.1768190448821788,M
,Parpi7,69270659435511.766,0.0005447453725495473,M
,TIGIT,0.9999638191328506,0.0022901360112099222,M
,ADA,0.999949734445095,0.6717118471024506,M
,VISTA,0.9999170291900518,0.3279239238865106,M
,Peroxisome,0.01803241316811961,0.0010254191641846215,M
,CDK4,0.9998474594914764,0.03088072385042836,M
,CLP,0.9999980627603774,0.6659440142112769,M
,Normal Fibroblast,1.000065298749624,0.20927687541221762,M
,B7-H3,1.0002659787369086,0.05574292219606956,M
,pro B-cells,0.9999921471809433,0.4375682617905785,M
,NTRK1,1.0000017259005898,0.3220830311295889,M
,ICOS,0.9999499362820262,0.000841082772972599,M
,CAF,1.0002817615373965,0.008640134947759047,M
,DC,0.9999924189795241,0.01924244163244777,M
,PTEN,0.9999020170780538,0.22400440073160766,M
,Hypoxia,10.150813406332436,0.029082179819581243,M
,Estrogen response late,0.9999847071727552,0.9526246064669567,M
,Monocytes,1.0000013306698585,0.08069134032451557,M
,Protein secretion,0.24539103233281848,0.09231377275904934,M
,IDO1,0.9998198830279116,0.00027694261455904153,M
,TLR7,0.9999088933052078,0.0015110281950384123,M
,PIK3CG,1.0000021226802558,0.06551221607191189,M
,IL2RA,0.9999791868083865,0.2831087137486059,M
,EMSY,1.0000400472639983,0.8834891292001192,M
,PLK4,0.9999642672764997,0.17179550679033329,M
,CTLA4,0.9999784936865495,0.038314904930685206,M
,aDC,0.9997948965517869,0.0017540890836891295,M
,TAM,0.9994533175974509,0.009924600573751238,M
,TGF beta signaling,1.0001935775881052,0.056764658115567274,M
,MLH3,1.0000690999066457,0.21216481652056862,M
,MSC,1.000011523746176,0.8306404366956162,M
,Neutrophils,1.000001464624247,0.8803635800495231,M
,Cholesterol homeostasis,0.29657012912893477,0.17937149170161937,M
,Unfolded protein response,0.05938952271649012,0.000560982624102476,M
,IL2 STAT5 signaling,0.021976829831195567,0.005630442663386422,M
,IFNGR1,0.3315756895420264,0.07932599601635805,M
,Tgd cells,1.0000004747511617,0.5262640404100046,M
,B-cells,0.9999800651523025,0.1573659711619948,M
,CHEK2,0.9999475828873091,0.1644615750867896,M
,PMS2,0.9999956771395366,0.8275529963418646,M
,CDKN2A,0.9996929037593498,0.3602272192568543,M
,CD4+ T-cells,0.9999976927816091,0.6774990757730681,M
,MYC,1.0001062497003745,0.4259681922947892,M
,FLT1,0.9999823045238819,0.12338251250088512,M
,DCIR,0.9999216219553848,0.07028637571304655,M
,VEGFB,1.0002189367551617,0.08928907495312587,M
,Adipogenesis,0.9997950867866414,0.03545214735817936,M
,CD96,0.9999683135779659,0.000375471934568007,M
,Plasma cells,0.9999943839204848,0.43058654008807384,M
,CXCL12,1.0000107521349737,0.7907244842075034,M
